City,Date,Max Temp (°C),Min Temp (°C),Precipitation (mm)
Chicago,2014-02-09,-7.3,-13.3,0.0
Chicago,2014-02-10,-11.1,-19.1,0.0
Chicago,2014-02-11,-9.7,-20.0,0.0
Chicago,2014-02-12,-4.9,-16.8,0.0
Chicago,2014-02-13,0.0,-9.2,0.132
Chicago,2014-02-14,-5.7,-10.9,0.0
Chicago,2014-02-15,-4.2,-14.2,0.764
Chicago,2014-02-16,-2.4,-8.0,0.131
Chicago,2014-02-17,-2.0,-5.5,8.231
Chicago,2014-02-18,7.2,-5.4,1.038
Chicago,2014-02-19,6.8,0.3,0.0
Chicago,2014-02-20,9.0,1.5,20.959
Chicago,2014-02-21,2.9,-2.4,1.289
Chicago,2014-02-22,1.4,-4.9,0.0
Chicago,2014-02-23,-2.3,-8.3,0.0
Chicago,2014-02-24,-4.1,-11.0,0.0
Chicago,2014-02-25,-5.2,-13.5,0.0
Chicago,2014-02-26,-8.1,-17.1,0.0
Chicago,2014-02-27,-7.5,-14.7,0.0
Chicago,2014-02-28,-1.4,-14.9,0.0
Chicago,2014-05-25,27.9,11.8,0.0
Chicago,2014-05-27,29.0,19.0,7.271
Chicago,2014-09-14,18.9,7.9,0.0
Chicago,2014-10-29,9.2,4.9,0.0
Chicago,2014-12-14,10.9,7.9,0.0
Chicago,2014-12-26,10.1,2.9,0.0
Chicago,2015-04-30,10.1,5.6,0.0
Chicago,2015-11-15,18.2,7.0,0.0
Chicago,2015-11-28,4.0,1.6,0.0
Chicago,2015-12-20,10.3,-2.9,0.0
Chicago,2016-02-16,1.6,-3.6,2.35
Chicago,2016-04-21,21.4,13.5,2.573
Chicago,2016-05-23,28.3,11.7,0.0
Chicago,2016-06-04,22.9,19.5,5.477
Chicago,2016-06-06,27.8,16.1,1.115
Chicago,2016-06-12,27.5,16.7,0.0
Chicago,2016-08-29,30.9,22.2,2.582
Chicago,2016-10-23,22.7,7.4,0.0
Chicago,2016-11-27,6.9,1.5,0.315
Chicago,2016-12-16,-6.0,-12.7,1.167
Chicago,2017-04-16,22.6,15.1,10.9
Chicago,2017-05-06,13.4,6.8,1.866
Chicago,2017-06-09,30.1,19.4,1.535
Chicago,2017-06-13,30.3,21.5,0.88
Chicago,2017-07-09,29.6,17.0,0.0
Chicago,2017-07-20,31.3,21.4,33.831
Chicago,2017-08-01,29.1,21.2,4.942
Chicago,2017-08-03,29.1,20.4,17.355
Chicago,2017-09-03,28.4,13.9,0.0
Chicago,2017-09-08,20.6,14.9,0.0
Chicago,2017-09-15,30.7,17.5,0.0
Chicago,2017-11-13,5.2,0.4,0.0
Chicago,2017-11-19,3.4,-1.1,0.0
Cincinnati,2014-06-29,27.9,21.0,0.602
Cincinnati,2014-11-24,17.0,4.0,2.956
Cincinnati,2016-05-30,29.4,16.4,0.033
Cincinnati,2016-11-20,4.1,-2.0,0.0
Cincinnati,2017-02-03,-1.4,-5.2,0.0
Cincinnati,2017-12-09,-0.9,-7.5,0.121
Cleveland,2014-05-18,15.8,6.7,0.0
Cleveland,2014-12-24,15.6,5.0,2.893
Cleveland,2016-05-08,17.2,9.3,0.0
Cleveland,2017-06-21,21.2,16.2,2.27
Cleveland,2017-09-02,18.4,13.4,0.35
Clinton,2015-12-27,13.8,2.9,4.451
Clinton,2017-03-07,12.0,4.8,6.541
Colorado Springs,2014-12-26,-6.0,-9.7,0.181
Colorado Springs,2015-12-24,1.7,-6.7,0.0
Columbia,2014-01-01,21.0,7.8,0.0
Columbia,2014-01-02,21.4,5.0,0.0
Columbia,2014-01-03,20.3,6.8,0.0
Columbia,2014-01-04,18.4,7.0,0.9
Columbia,2014-01-05,22.1,7.8,1.3
Columbia,2014-01-06,18.3,12.0,2.4
Columbia,2014-01-07,18.0,10.0,6.9
Columbia,2014-01-08,19.0,11.9,19.5
Columbia,2014-01-09,20.6,9.0,7.3
Columbia,2014-01-10,29.7,6.0,2.8
Columbia,2014-01-11,21.3,10.0,0.0
Columbia,2014-01-12,20.2,11.0,0.0
Columbia,2014-01-13,19.4,7.5,0.0
Columbia,2014-01-14,25.1,7.0,0.0
Columbia,2014-01-15,20.3,7.5,0.0
Columbia,2014-01-16,21.3,7.0,0.2
Columbia,2014-01-17,19.4,9.0,2.8
Columbia,2014-01-18,18.4,11.5,0.7
Columbia,2014-01-19,20.2,10.0,2.6
Columbia,2014-01-20,22.3,7.0,2.6
Columbia,2014-01-21,21.3,7.0,1.1
Columbia,2014-01-22,19.4,10.0,6.0
Columbia,2014-01-23,20.4,8.0,0.5
Columbia,2014-01-24,21.4,3.0,1.0
Columbia,2014-01-25,20.3,9.3,0.7
Columbia,2014-01-26,18.4,9.0,0.0
Columbia,2014-01-27,19.8,7.0,0.0
Columbia,2014-01-28,21.8,9.0,0.0
Columbia,2014-01-29,20.3,8.0,0.0
Columbia,2014-01-30,20.3,10.2,1.9
Columbia,2014-01-31,20.3,10.4,0.1
Columbia,2014-02-01,20.3,4.0,0.0
Columbia,2014-02-02,20.3,7.0,0.7
Columbia,2014-02-03,20.3,8.0,0.0
Columbia,2014-02-04,21.4,8.5,0.0
Columbia,2014-02-05,20.3,7.0,2.5
Columbia,2014-02-06,20.3,7.0,0.0
Columbia,2014-02-07,20.4,8.0,0.2
Columbia,2014-02-08,20.3,9.0,0.0
Columbia,2014-02-09,20.5,7.0,3.5
Columbia,2014-02-10,21.3,8.0,1.1
Columbia,2014-02-11,21.3,10.0,0.0
Columbia,2014-02-12,28.0,7.0,4.4
Columbia,2014-02-13,19.4,7.9,4.3
Columbia,2014-02-14,20.4,6.9,2.2
Columbia,2014-02-15,21.4,9.0,0.0
Columbia,2014-02-16,32.0,6.0,0.2
Columbia,2014-02-17,19.3,7.1,0.3
Columbia,2014-02-18,20.4,10.0,0.0
Columbia,2014-02-19,30.0,12.0,2.9
Columbia,2014-02-20,19.2,11.0,4.4
Columbia,2014-02-21,20.6,9.0,4.1
Columbia,2014-02-22,20.4,11.0,3.7
Columbia,2014-02-23,20.2,10.0,4.5
Columbia,2014-02-24,19.4,10.8,1.7
Columbia,2014-02-25,18.3,10.0,7.9
Columbia,2014-02-26,19.4,11.3,3.0
